group,n,meanMakespan,meanEnergy,meanCost,meanImbalance,meanObjective
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N1000,1,331.28925620,948.18430716,1248.25264215,1.78343759,1.62424700
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N200,1,68.95744681,194.21440719,243.83598241,1.89452888,1.68445796
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N2000,1,670.84358524,1926.48343297,2541.27608471,1.76165662,1.62113508
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N500,1,159.28233438,461.04600219,626.91610001,1.71216796,1.56947945
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N5000,1,1685.44958678,4828.48154169,6326.90719963,1.77727737,1.63351826
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N1000,1,317.90322581,920.30567831,1248.26872418,1.71131698,1.57373033
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N200,1,43.86096257,137.06549880,235.07976321,1.33333360,1.21874689
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N2000,1,589.94376900,1746.85838501,2521.32530928,1.58237218,1.47487202
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N500,1,116.18365288,362.79590480,611.68598035,1.33640324,1.25392282
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N5000,1,1577.14634146,4595.69958815,6314.03685319,1.67215095,1.55387143
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N1000,1,256.33438486,784.07012007,1233.92787291,1.42385124,1.34589398
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N200,1,43.83675079,137.01540132,235.08038192,1.33258756,1.21826838
