group,n,meanMakespan,meanEnergy,meanCost,meanImbalance,meanObjective
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N1000,1,309.49230769,892.94649838,1243.81984324,1.73207456,1.55768574
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N200,1,62.22080000,178.46677247,245.81974044,1.76940194,1.56121986
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N2000,1,641.39076923,1832.38908469,2467.38896783,1.79543602,1.61493310
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N500,1,161.56907895,463.63724956,636.03510316,1.76645409,1.58133998
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N5000,1,1629.46000000,4639.91819376,6174.78244877,1.81747588,1.63548910
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N1000,1,281.72320000,834.22276813,1242.25128263,1.58222045,1.45158738
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N200,1,40.00762016,128.32852232,238.87031456,1.23537099,1.14255330
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N2000,1,518.32730263,1564.33524672,2446.38005922,1.48590050,1.38002371
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N500,1,108.97483589,346.85129755,623.04880102,1.26317348,1.19272453
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N5000,1,1406.32565789,4154.42649796,6137.65117923,1.59501861,1.46555157
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N1000,1,253.17910448,770.05752288,1233.79419940,1.44944813,1.34473151
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N200,1,44.39470899,138.13361898,240.06790543,1.35085555,1.22730329
