group,n,meanMakespan,meanEnergy,meanCost,meanImbalance,meanObjective
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N1000,1,352.95253682,1020.30967604,1330.62400377,1.72009054,1.58691963
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N200,1,66.82082695,192.04181009,247.62255709,1.75664628,1.59480193
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N2000,1,728.55172414,2063.54834142,2541.58927403,1.85416456,1.68657509
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N500,1,167.85823755,483.49719690,628.47021361,1.74252204,1.59144025
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N5000,1,1844.13793103,5236.94103907,6468.14822894,1.83607636,1.68242214
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N1000,1,365.60714286,1046.93828895,1331.10073440,1.78010762,1.63012256
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N200,1,44.75477707,140.92396103,238.35811584,1.30354657,1.20230912
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N2000,1,613.28314239,1814.66917531,2525.86395659,1.58619841,1.48225103
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N500,1,136.25647668,413.96682030,621.82213897,1.45462204,1.36633948
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N5000,1,1633.69923372,4781.33888373,6437.20946427,1.64684908,1.53602249
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N1000,1,300.29533679,905.02727616,1320.58018413,1.49269491,1.40934551
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N200,1,48.01684533,147.98433717,238.83403693,1.39084705,1.26334526
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N2000,1,611.76759411,1810.82593975,2524.62943864,1.58430204,1.47974502
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N500,1,119.05626327,373.91249417,614.22515224,1.31361411,1.24421777
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N5000,1,1698.79501916,4920.13988751,6442.94207568,1.70851959,1.58176030
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N1000,1,273.98428291,846.45047632,1313.80839647,1.38049658,1.32023859
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N200,1,45.79533679,143.47587117,239.04945516,1.32319667,1.22096386
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N2000,1,639.01375246,1871.07239014,2530.89995554,1.64418191,1.52773841
