group,n,meanMakespan,meanEnergy,meanCost,meanImbalance,meanObjective
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N1000,1,365.67964602,1046.13319463,1311.69602776,1.78644857,1.65062239
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N200,1,73.11594203,205.46881719,251.48396333,1.91084672,1.67485940
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N2000,1,747.06548673,2128.60660827,2630.57431966,1.81327222,1.67650039
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N500,1,185.47909968,526.40247059,644.47322327,1.84023238,1.68934947
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N5000,1,1828.33000000,5202.23291346,6392.33444423,1.82265662,1.68771173
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N1000,1,296.40353982,892.04121857,1294.11586908,1.49952945,1.41516854
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N200,1,49.44283414,152.72783072,245.32434227,1.38109297,1.26073943
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N2000,1,678.86012862,1981.47231622,2621.50268688,1.66236584,1.55992977
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N500,1,136.30136986,413.98949920,626.54636158,1.45589415,1.35241975
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N5000,1,1705.02654867,4933.05718070,6370.20606774,1.71486758,1.60146144
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N1000,1,314.31150442,930.96241195,1297.01914991,1.58083958,1.47711426
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N200,1,53.86655949,162.78931884,246.84605084,1.47950625,1.33879223
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N2000,1,663.56166667,1946.16971294,2615.32723330,1.63479223,1.53446525
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N500,1,147.62173315,440.32266987,631.49470646,1.54416487,1.43064350
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N5000,1,1711.06725664,4947.83154150,6374.14726232,1.71821878,1.60545619
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N1000,1,301.64590164,901.27374727,1291.07556394,1.53549807,1.43467609
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N200,1,48.09131905,149.75339400,245.03853775,1.34764445,1.23645565
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N2000,1,722.81025641,2078.04149603,2630.51423131,1.75450245,1.63444726
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N500,1,135.57534247,412.84825253,627.21472031,1.44401558,1.34671485
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N5000,1,1655.10333333,4827.86460372,6368.07148669,1.66608699,1.56585683
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N1000,1,371.00000000,1058.81090082,1314.56457148,1.80233708,1.66782013
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N200,1,75.49059829,212.21781848,254.72720468,1.90821082,1.70846730
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N2000,1,752.15000000,2136.13944828,2625.06650691,1.83542811,1.68659251
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N500,1,183.61344538,519.95136647,639.85743948,1.85571567,1.68061723
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N5000,1,1826.16991150,5197.45119019,6391.82767421,1.82087120,1.68621598
formalfull|E2_ablation|LSCBO|no_phase2|W0_equal|default_4_to_1|LEVY|N1000,1,363.82270916,1042.15124655,1311.49203442,1.77808570,1.64425756
formalfull|E2_ablation|LSCBO|no_phase2|W0_equal|default_4_to_1|LEVY|N200,1,50.24137931,153.66913070,244.02413785,1.42408728,1.27757127
formalfull|E2_ablation|LSCBO|no_phase2|W0_equal|default_4_to_1|LEVY|N2000,1,654.03424658,1922.50203367,2608.45323595,1.62230955,1.51913077
