group,n,meanMakespan,meanEnergy,meanCost,meanImbalance,meanObjective
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N1000,1,311.21361059,903.41975777,1264.64869928,1.69467732,1.54610321
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N200,1,59.23505976,173.45285884,251.29632180,1.64389002,1.48211151
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N2000,1,637.47710487,1833.20955414,2492.65215418,1.75277833,1.59533474
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N500,1,162.31568998,472.47939537,665.59072424,1.67834717,1.53374292
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N5000,1,1704.86767486,4817.95377821,6262.39102006,1.87014100,1.67415946
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N1000,1,275.92961487,827.11886654,1259.62207899,1.51917552,1.41473759
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N200,1,43.23107570,136.51846435,244.82935196,1.29253710,1.18908349
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N2000,1,500.27582017,1533.48801022,2467.65819275,1.41441663,1.33612549
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N500,1,148.37273824,441.54309385,662.19145053,1.55605401,1.43640164
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N5000,1,1433.24568393,4243.85340582,6247.59281574,1.58246252,1.46785938
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N1000,1,270.47144754,813.46199068,1255.50782994,1.50274052,1.39559599
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N200,1,47.71181939,146.39366323,245.80192110,1.41010257,1.27399681
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N2000,1,544.58831341,1630.16761266,2475.50962749,1.52614910,1.42040506
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N500,1,125.80853994,390.09677810,654.20382578,1.36515639,1.27850461
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N5000,1,1436.82865583,4251.08009228,6247.16470673,1.58671852,1.47063953
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N1000,1,264.75201845,802.07396487,1256.45724257,1.46786619,1.37348843
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N200,1,53.98062342,161.63366019,249.72590051,1.52464809,1.38617676
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N2000,1,522.88279773,1584.17196343,2474.11314268,1.46761918,1.37873104
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N500,1,119.53917663,375.48281805,651.40881014,1.31305655,1.23437847
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N5000,1,1454.05592543,4290.07933434,6252.76108145,1.60178321,1.48335053
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N1000,1,301.75564409,884.44897109,1265.96865762,1.63846437,1.50979651
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N200,1,58.25068871,171.13192742,250.81003671,1.62534564,1.46464795
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N2000,1,637.88090737,1833.24868168,2491.20832438,1.75667814,1.59647745
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N500,1,161.56336088,469.93714138,663.83590118,1.68278164,1.52990164
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N5000,1,1729.95652174,4875.94534705,6272.69266817,1.88912294,1.69212677
formalfull|E2_ablation|LSCBO|no_phase2|W0_equal|default_4_to_1|LEVY|N1000,1,242.51004464,750.32385216,1246.71444148,1.37424291,1.29198085
formalfull|E2_ablation|LSCBO|no_phase2|W0_equal|default_4_to_1|LEVY|N200,1,55.12376238,163.19074459,248.24188135,1.58348412,1.41110228
formalfull|E2_ablation|LSCBO|no_phase2|W0_equal|default_4_to_1|LEVY|N2000,1,518.23771580,1571.83124845,2469.31891294,1.46245316,1.37062730
formalfull|E2_ablation|LSCBO|no_phase2|W0_equal|default_4_to_1|LEVY|N500,1,131.87296898,404.22423164,656.89163328,1.41446047,1.32090289
formalfull|E2_ablation|LSCBO|no_phase2|W0_equal|default_4_to_1|LEVY|N5000,1,1392.52330226,4152.06562365,6235.08373908,1.54604169,1.43767532
formalfull|E2_ablation|LSCBO|no_phase3|W0_equal|default_4_to_1|LEVY|N1000,1,239.01624815,743.21857947,1247.02668746,1.35348650,1.27849283
formalfull|E2_ablation|LSCBO|no_phase3|W0_equal|default_4_to_1|LEVY|N200,1,45.09310590,140.27887151,244.61547159,1.35166608,1.22552983
formalfull|E2_ablation|LSCBO|no_phase3|W0_equal|default_4_to_1|LEVY|N2000,1,522.30278884,1583.37824725,2474.85948688,1.46476384,1.37747333
formalfull|E2_ablation|LSCBO|no_phase3|W0_equal|default_4_to_1|LEVY|N500,1,124.80096502,387.64509455,653.56920138,1.35796369,1.27154920
formalfull|E2_ablation|LSCBO|no_phase3|W0_equal|default_4_to_1|LEVY|N5000,1,1404.43663912,4184.13144328,6248.12720121,1.55028825,1.44575363
formalfull|E3_evolution|CBO|V1_CBO|W0_equal|default_4_to_1|NONE|N1000,1,305.37618147,891.06497320,1264.30044622,1.66415263,1.52421463
formalfull|E3_evolution|CBO|V1_CBO|W0_equal|default_4_to_1|NONE|N200,1,63.06374502,182.43532639,253.10719367,1.71565532,1.54976662
formalfull|E3_evolution|CBO|V1_CBO|W0_equal|default_4_to_1|NONE|N2000,1,638.15311909,1829.63565318,2483.68407913,1.77211596,1.59895544
formalfull|E3_evolution|CBO|V1_CBO|W0_equal|default_4_to_1|NONE|N500,1,166.64600551,480.78982904,664.31082161,1.73229293,1.56596375
formalfull|E3_evolution|CBO|V1_CBO|W0_equal|default_4_to_1|NONE|N5000,1,1703.55982275,4812.60580299,6257.66911008,1.87258610,1.67370233
formalfull|E3_evolution|LSCBO|V2_CBO_plus_Levy|W0_equal|default_4_to_1|LEVY|N1000,1,307.22306238,894.59104724,1263.72157610,1.67633247,1.53146074
formalfull|E3_evolution|LSCBO|V2_CBO_plus_Levy|W0_equal|default_4_to_1|LEVY|N200,1,60.75992439,176.82374671,251.64567763,1.67969397,1.51001136
formalfull|E3_evolution|LSCBO|V2_CBO_plus_Levy|W0_equal|default_4_to_1|LEVY|N2000,1,634.40453686,1823.26630569,2486.27643700,1.75664803,1.59106474
formalfull|E3_evolution|LSCBO|V2_CBO_plus_Levy|W0_equal|default_4_to_1|LEVY|N500,1,158.58167331,463.01986810,662.56613767,1.66050987,1.50958995
formalfull|E3_evolution|LSCBO|V2_CBO_plus_Levy|W0_equal|default_4_to_1|LEVY|N5000,1,1708.61625709,4823.72665211,6258.72500972,1.87727268,1.67744628
formalfull|E3_evolution|LSCBO|V3_CBO_plus_LS|W0_equal|default_4_to_1|NONE|N1000,1,269.17155756,812.22867332,1258.16244612,1.48674708,1.38965027
formalfull|E3_evolution|LSCBO|V3_CBO_plus_LS|W0_equal|default_4_to_1|NONE|N200,1,46.11155378,143.33344517,246.29452462,1.35491707,1.24228339
formalfull|E3_evolution|LSCBO|V3_CBO_plus_LS|W0_equal|default_4_to_1|NONE|N2000,1,594.62333826,1741.06827040,2487.49946826,1.64426767,1.51427110
formalfull|E3_evolution|LSCBO|V3_CBO_plus_LS|W0_equal|default_4_to_1|NONE|N500,1,118.13641364,371.66741239,649.80144115,1.30687777,1.22503455
formalfull|E3_evolution|LSCBO|V3_CBO_plus_LS|W0_equal|default_4_to_1|NONE|N5000,1,1402.01329394,4177.25175138,6244.83130020,1.54986872,1.44416324
formalfull|E3_evolution|LSCBO|V4_CBO_plus_Levy_plus_LS|W0_equal|default_4_to_1|LEVY|N1000,1,282.63810931,841.18590600,1259.78589590,1.55554904,1.44010937
