key,value
createdAt,2026-06-09T23:18:42.4631287
mode,formalfull
rows,426
runtimeMs,11183
cloudsimValidation,false
seedRange,49-49
experiments,all
parallelism,6
cloudsimVersion,8.0.0
populationSize,20
maxIterations,20
localSearchInterval,10
localSearchMaxTrials,10
levyBeta,1.5
levyAlpha,0.05
objective,weighted normalized makespan energy cost imbalance
decoder,SPV ranking plus rank-modulo VM mapping
datacenter,1 datacenter, 4 cores per host, host count expands when needed to allocate all VMs
