group,n,meanMakespan,meanEnergy,meanCost,meanImbalance,meanObjective
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N1000,1,351.96223022,1010.89039653,1295.77965045,1.76071140,1.60534794
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N200,1,70.02076677,200.19034981,255.06832926,1.79054219,1.59888229
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N2000,1,721.92086331,2062.25895936,2591.02618945,1.79606808,1.63984659
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N500,1,176.38936535,504.91649563,644.16604706,1.78250607,1.60986615
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N5000,1,1840.90827338,5219.07624387,6419.89831378,1.84761051,1.67787018
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N1000,1,284.26666667,860.96141972,1279.76585549,1.46913743,1.37339486
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N200,1,48.13966480,150.11642119,246.98939013,1.34189740,1.22500671
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N2000,1,580.97063369,1751.99145760,2561.10804733,1.48975271,1.39771253
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N500,1,125.29131986,391.09395464,630.90314389,1.33785827,1.25781651
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N5000,1,1633.44513138,4771.09821451,6391.52464346,1.65828118,1.53341851
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N1000,1,278.30945559,849.67175023,1281.78399196,1.43237367,1.35167454
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N200,1,45.56410256,144.58465363,246.69056692,1.27434937,1.17877769
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N2000,1,634.28438949,1869.03787700,2571.86501802,1.60871280,1.48995217
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N500,1,122.55959032,384.37169388,629.04706030,1.31914670,1.23927290
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N5000,1,1705.23985240,4921.58959404,6393.17892277,1.73000535,1.58425175
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N1000,1,270.77588872,832.19409146,1278.57508194,1.40286821,1.32598676
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N200,1,46.27619048,145.66601918,245.96669523,1.30483200,1.19272734
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N2000,1,640.04802744,1884.65501591,2578.36222572,1.61270087,1.49885152
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N500,1,127.38217338,395.69105232,631.33721899,1.35766722,1.27253052
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N5000,1,1598.72841727,4695.19353431,6385.08389702,1.62729274,1.50927303
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N1000,1,356.83487941,1021.05126977,1295.79678782,1.78502590,1.62238933
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N200,1,60.54768154,179.40628624,253.18108445,1.57877697,1.43617190
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N2000,1,712.08905380,2037.39759126,2583.14501251,1.78561213,1.62443966
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N500,1,161.27220630,473.21228357,643.78781178,1.63223486,1.50408969
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N5000,1,1842.22509225,5224.76750422,6425.20451165,1.84500189,1.67827830
formalfull|E2_ablation|LSCBO|no_phase2|W0_equal|default_4_to_1|LEVY|N1000,1,278.90726430,850.85516000,1281.67234688,1.43578042,1.35382247
formalfull|E2_ablation|LSCBO|no_phase2|W0_equal|default_4_to_1|LEVY|N200,1,45.47997087,143.70748393,245.42715532,1.29023272,1.17901887
formalfull|E2_ablation|LSCBO|no_phase2|W0_equal|default_4_to_1|LEVY|N2000,1,581.51438849,1753.56477311,2561.90093476,1.48993533,1.39854232
formalfull|E2_ablation|LSCBO|no_phase2|W0_equal|default_4_to_1|LEVY|N500,1,123.21023256,385.85721108,629.28108286,1.32481495,1.24381296
formalfull|E2_ablation|LSCBO|no_phase2|W0_equal|default_4_to_1|LEVY|N5000,1,1676.82913669,4861.36567215,6391.31604728,1.70246904,1.56424295
formalfull|E2_ablation|LSCBO|no_phase3|W0_equal|default_4_to_1|LEVY|N1000,1,274.86620926,840.97018509,1279.03334843,1.42270869,1.34033923
formalfull|E2_ablation|LSCBO|no_phase3|W0_equal|default_4_to_1|LEVY|N200,1,45.64841849,144.75857845,246.68744687,1.27675210,1.18031039
formalfull|E2_ablation|LSCBO|no_phase3|W0_equal|default_4_to_1|LEVY|N2000,1,602.62050360,1802.59109181,2571.00037676,1.52974669,1.43427724
formalfull|E2_ablation|LSCBO|no_phase3|W0_equal|default_4_to_1|LEVY|N500,1,131.04952077,404.56229698,633.55290668,1.38368418,1.29741214
formalfull|E2_ablation|LSCBO|no_phase3|W0_equal|default_4_to_1|LEVY|N5000,1,1725.97598628,4972.59462730,6407.22748060,1.74111647,1.59770745
formalfull|E3_evolution|CBO|V1_CBO|W0_equal|default_4_to_1|NONE|N1000,1,355.69244604,1020.25416116,1298.64611742,1.76922399,1.61709096
formalfull|E3_evolution|CBO|V1_CBO|W0_equal|default_4_to_1|NONE|N200,1,70.28473413,201.15142217,255.80838190,1.78378945,1.60178380
formalfull|E3_evolution|CBO|V1_CBO|W0_equal|default_4_to_1|NONE|N2000,1,710.59594096,2037.96763617,2589.77026650,1.77010514,1.62030035
formalfull|E3_evolution|CBO|V1_CBO|W0_equal|default_4_to_1|NONE|N500,1,174.63369397,500.81147577,643.36077899,1.77052727,1.59829156
