group,n,meanMakespan,meanEnergy,meanCost,meanImbalance,meanObjective
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N1000,1,357.72340426,1037.18152081,1313.38232150,1.70194068,1.59150731
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N200,1,73.29770992,210.13905700,261.23684039,1.77246449,1.61185947
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N2000,1,708.17214700,2065.00147121,2652.96952192,1.66808172,1.56860515
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N500,1,184.56127886,532.75378045,667.63400907,1.72906023,1.60606253
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N5000,1,1873.56679389,5374.92665885,6572.95095883,1.76818808,1.65336969
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N1000,1,348.88351254,1017.33144095,1310.80177167,1.66807503,1.56252769
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N200,1,51.76219512,160.36694783,252.40522439,1.36861317,1.25897774
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N2000,1,679.57692308,2005.03496151,2652.26189418,1.60179433,1.52073525
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N500,1,142.98187311,438.16266401,653.29277106,1.41560172,1.33680891
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N5000,1,1644.27466151,4871.50157508,6526.63130448,1.57940966,1.50086514
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N1000,1,277.70038168,856.99436858,1289.13178214,1.38514036,1.32624290
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N200,1,48.76197605,153.00201767,250.39917163,1.31723303,1.20939409
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N2000,1,643.86615385,1920.30577197,2633.66473762,1.54470689,1.46367369
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N500,1,149.91554960,455.74115275,658.93276395,1.45182167,1.38040814
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N5000,1,1747.56673114,5091.30863291,6534.93874746,1.67328602,1.57071024
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N1000,1,293.53965184,891.11331076,1291.14861497,1.45827702,1.38017591
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N200,1,45.99472892,147.29829263,250.50964330,1.24099855,1.16065248
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N2000,1,638.22014388,1911.05067757,2638.17810506,1.52455827,1.45342981
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N500,1,125.84507042,398.43398108,646.04415187,1.28276081,1.22382154
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N5000,1,1671.68738899,4930.54057246,6530.10377173,1.60360147,1.51932826
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N1000,1,366.88201161,1055.55981902,1312.11848071,1.74972301,1.62303816
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N200,1,71.28625954,206.98578518,263.10389004,1.69324520,1.57430095
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N2000,1,738.82824427,2132.48164311,2659.47346657,1.72969192,1.61876296
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N500,1,178.44638070,517.78049456,663.61296259,1.69734931,1.56845859
