group,n,meanMakespan,meanEnergy,meanCost,meanImbalance,meanObjective
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N1000,1,354.51623932,993.90873199,1243.48879515,1.92839631,1.76210227
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N200,1,73.34429066,203.86349060,252.96714311,1.99493370,1.75912118
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N2000,1,728.55339806,2033.88875683,2508.35941958,1.96074434,1.78953776
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N500,1,174.23750000,492.63015733,638.96330820,1.86674775,1.69474373
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N5000,1,1884.15728155,5225.86820055,6326.75360517,2.01215191,1.82570461
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N1000,1,276.62195122,820.41421607,1223.30224686,1.57381427,1.46644501
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N200,1,44.90178571,139.48253878,243.74082338,1.35758506,1.23468332
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N2000,1,627.37903226,1809.90008513,2484.58368227,1.73280638,1.59957699
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N500,1,131.27144686,395.59651085,625.42544379,1.49303898,1.37908396
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N5000,1,1741.74642857,4917.14263314,6305.08828251,1.87744222,1.71888231
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N1000,1,279.55363322,825.45033164,1221.37344738,1.59750603,1.47890025
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N200,1,44.68225806,139.27509391,244.19065129,1.34363817,1.22959556
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N2000,1,637.79411765,1832.89554293,2486.91893609,1.75703950,1.61929787
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N500,1,124.49354839,380.30786191,623.32299499,1.42962374,1.32820745
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N5000,1,1794.70415225,5036.13270888,6320.67895506,1.92160848,1.75781602
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N1000,1,276.79829060,822.17069703,1225.80263990,1.56590706,1.46608591
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N200,1,63.95161290,182.75446725,250.19344267,1.79358248,1.58879192
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N2000,1,606.32857143,1765.59608402,2483.77570838,1.67616170,1.55870968
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N500,1,131.02222222,394.55101612,624.47814568,1.49665451,1.37791023
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N5000,1,1732.18512111,4895.50140623,6301.98897705,1.86963442,1.71186842
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N1000,1,332.07692308,943.49595851,1236.89323877,1.83263685,1.67816068
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N200,1,68.06301050,193.03801529,253.28608814,1.84488324,1.65854645
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N2000,1,717.27008547,2006.26520900,2500.94945568,1.94590004,1.76989178
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N500,1,173.08477509,489.60263690,637.83648985,1.86339603,1.68724882
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N5000,1,1915.19145299,5295.17090977,6335.12033886,2.03801036,1.84844390
formalfull|E2_ablation|LSCBO|no_phase2|W0_equal|default_4_to_1|LEVY|N1000,1,266.42135922,796.66894067,1218.81297112,1.53142481,1.42787575
formalfull|E2_ablation|LSCBO|no_phase2|W0_equal|default_4_to_1|LEVY|N200,1,42.49288618,134.71082048,244.18510370,1.27788694,1.18671942
formalfull|E2_ablation|LSCBO|no_phase2|W0_equal|default_4_to_1|LEVY|N2000,1,608.86440678,1771.52021069,2484.92975382,1.68102669,1.56338833
formalfull|E2_ablation|LSCBO|no_phase2|W0_equal|default_4_to_1|LEVY|N500,1,125.29566855,382.17326938,623.67277783,1.43652684,1.33416951
formalfull|E2_ablation|LSCBO|no_phase2|W0_equal|default_4_to_1|LEVY|N5000,1,1701.11964286,4826.87499602,6294.95698212,1.84169526,1.68871605
formalfull|E2_ablation|LSCBO|no_phase3|W0_equal|default_4_to_1|LEVY|N1000,1,267.15442561,798.20739783,1218.83319504,1.53556717,1.43077997
formalfull|E2_ablation|LSCBO|no_phase3|W0_equal|default_4_to_1|LEVY|N200,1,41.23535565,131.62957457,243.35460055,1.25258292,1.16328374
formalfull|E2_ablation|LSCBO|no_phase3|W0_equal|default_4_to_1|LEVY|N2000,1,599.34563107,1748.80095518,2479.73050282,1.66430234,1.54600915
formalfull|E2_ablation|LSCBO|no_phase3|W0_equal|default_4_to_1|LEVY|N500,1,129.66090713,392.72112702,626.28927691,1.46894828,1.36597676
formalfull|E2_ablation|LSCBO|no_phase3|W0_equal|default_4_to_1|LEVY|N5000,1,1739.03254438,4917.00972593,6315.02611525,1.86651919,1.71570848
formalfull|E3_evolution|CBO|V1_CBO|W0_equal|default_4_to_1|NONE|N1000,1,353.39965398,990.37232355,1241.31045496,1.93147715,1.75902009
formalfull|E3_evolution|CBO|V1_CBO|W0_equal|default_4_to_1|NONE|N200,1,69.17269545,194.71325889,252.14020807,1.89854916,1.68267846
formalfull|E3_evolution|CBO|V1_CBO|W0_equal|default_4_to_1|NONE|N2000,1,728.71374765,2035.06936443,2509.88320230,1.95796410,1.78939848
formalfull|E3_evolution|CBO|V1_CBO|W0_equal|default_4_to_1|NONE|N500,1,183.50085470,512.98818134,640.87017129,1.95005790,1.76256970
