group,n,meanMakespan,meanEnergy,meanCost,meanImbalance,meanObjective
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N1000,1,336.20276498,977.05509360,1305.40754982,1.68797232,1.55136895
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N200,1,71.46119403,205.67988837,269.53647145,1.74731450,1.57204090
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N2000,1,662.59698682,1919.87505966,2535.98603183,1.70590150,1.57089231
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N500,1,164.82961992,479.56443280,639.97682934,1.68121503,1.55062158
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N5000,1,1742.74764595,5012.53826602,6489.51473152,1.75167051,1.60544438
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N1000,1,310.05111402,920.22938682,1301.18996868,1.56997057,1.46124352
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N200,1,63.55598832,186.92663242,265.42513216,1.61912914,1.44679636
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N2000,1,562.83988355,1701.88500997,2517.69307963,1.47689255,1.39370072
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N500,1,123.56158088,385.51056449,625.43501277,1.33978060,1.26328654
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N5000,1,1492.54224270,4474.44474342,6459.21665302,1.51868357,1.43079371
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N1000,1,266.48508431,823.07254545,1289.68026567,1.38157777,1.31123926
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N200,1,49.46590909,155.26265345,261.26776713,1.31592403,1.21159229
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N2000,1,585.94233290,1754.17898762,2525.18805435,1.52551261,1.43434856
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N500,1,120.63705972,378.02500389,622.92795804,1.32244977,1.24334946
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N5000,1,1608.49431818,4732.55512030,6488.99504836,1.61706767,1.51068634
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N1000,1,266.54959786,822.63211438,1288.64556392,1.38488384,1.31176932
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N200,1,48.75706215,153.46415112,260.68863896,1.30510961,1.20009918
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N2000,1,592.54572271,1770.01457124,2528.92939306,1.53671722,1.44564557
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N500,1,117.73200993,371.61102072,622.27672507,1.29429997,1.22242230
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N5000,1,1544.21533923,4586.34172527,6466.85710837,1.56639068,1.46687931
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N1000,1,335.38274933,977.68102005,1309.60927612,1.66976539,1.54676691
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N200,1,71.43163539,205.27524313,268.91895492,1.75720459,1.57290186
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N2000,1,636.12404288,1862.41646839,2531.83410731,1.64477777,1.52393687
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N500,1,160.88172043,470.91767599,639.21729018,1.64604842,1.52305964
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N5000,1,1709.82485876,4951.27091821,6502.69395744,1.70952095,1.58106484
formalfull|E2_ablation|LSCBO|no_phase2|W0_equal|default_4_to_1|LEVY|N1000,1,292.65522388,881.58174008,1296.85879259,1.49499989,1.40152292
