group,n,meanMakespan,meanEnergy,meanCost,meanImbalance,meanObjective
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N1000,1,347.65366615,991.01742819,1249.03762270,1.81020545,1.68012108
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N200,1,68.55507868,198.26783965,264.98829131,1.71730185,1.56949817
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N2000,1,737.30275229,2089.93122757,2593.71621352,1.84882019,1.70914650
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N500,1,172.42775393,497.17178294,649.32638204,1.73604702,1.61822396
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N5000,1,1834.53982301,5194.51160293,6434.96904899,1.85637334,1.71328176
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N1000,1,264.16308244,803.96639205,1225.43544654,1.44658769,1.37533299
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N200,1,45.63389392,144.59809296,254.33719012,1.27970184,1.18107969
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N2000,1,621.10921502,1834.56731356,2569.78693310,1.59576025,1.50430605
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N500,1,167.61333333,485.62874266,646.60298679,1.70628866,1.58594082
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N5000,1,1690.40707965,4880.92606386,6411.01286627,1.72727376,1.61072313
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N1000,1,285.56080114,853.22694312,1233.86299332,1.53542008,1.45344389
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N200,1,48.17015342,151.26696634,256.83018910,1.31407841,1.22337470
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N2000,1,627.59327217,1849.94238354,2573.14684473,1.60687075,1.51542964
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N500,1,134.53689840,410.63184077,635.64519440,1.43353760,1.35388641
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N5000,1,1853.10088496,5236.28367295,6440.55479273,1.87092535,1.72619223
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N1000,1,268.51779141,816.39712562,1231.48060833,1.45121812,1.38984924
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N200,1,48.28160920,150.54991759,255.12154219,1.34214278,1.22793827
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N2000,1,614.36283186,1823.51148977,2575.18538712,1.56971872,1.49106959
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N500,1,142.65309735,429.85795378,639.81645177,1.49346696,1.41037755
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N5000,1,1669.82081911,4840.60239863,6415.62874586,1.70302556,1.59533434
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N1000,1,362.95563140,1022.45882135,1248.24976068,1.89298786,1.73767632
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N200,1,71.82081911,204.86774264,264.62159007,1.80574342,1.62729047
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N2000,1,721.58532423,2059.28005031,2597.48444968,1.80259492,1.67998129
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N500,1,181.63620072,516.27179627,649.17473060,1.82987763,1.68449282
formalfull|E2_ablation|LSCBO|no_local_search|W0_equal|default_4_to_1|LEVY|N5000,1,1834.61262799,5200.12161791,6444.79405728,1.84909358,1.71236636
formalfull|E2_ablation|LSCBO|no_phase2|W0_equal|default_4_to_1|LEVY|N1000,1,260.53945666,797.55907790,1227.49087774,1.42034944,1.36090058
