group,n,meanMakespan,meanEnergy,meanCost,meanImbalance,meanObjective
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N1000,1,334.21124620,949.62096631,1239.36141611,1.83219577,1.65435265
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N200,1,64.40882917,186.36919395,256.29736471,1.71425109,1.54838100
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N2000,1,692.24164134,1965.20790331,2532.34549594,1.83819734,1.67664751
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N500,1,167.70260223,478.44959041,621.35017938,1.80461595,1.66091033
formalfull|E2_ablation|CBO|cbo_base|W0_equal|default_4_to_1|NONE|N5000,1,1792.21689060,5014.83413811,6217.12363386,1.94308744,1.74760998
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N1000,1,269.85227273,810.63612396,1230.53485040,1.50856930,1.41090171
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N200,1,44.88522238,141.50485831,248.75508602,1.29892517,1.20055432
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N2000,1,567.79483283,1692.39545332,2507.95861788,1.54783142,1.44748115
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N500,1,116.96260684,362.86238477,603.56819194,1.36293039,1.28258945
formalfull|E2_ablation|LSCBO|LSCBO_full|W0_equal|default_4_to_1|LEVY|N5000,1,1540.78438662,4480.16854772,6197.59746109,1.68475555,1.55696046
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N1000,1,266.43161094,803.77608801,1231.01426738,1.48785155,1.39751847
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N200,1,42.61022727,136.02728457,247.42668495,1.25234677,1.15948350
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N2000,1,583.08178439,1726.17320289,2511.43249875,1.58350598,1.47574098
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N500,1,117.72115385,364.57723108,603.81036401,1.37022283,1.28839536
formalfull|E2_ablation|LSCBO|ls_only|W0_equal|default_4_to_1|NONE|N5000,1,1593.04626866,4587.36804657,6194.57450136,1.74420693,1.59737777
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N1000,1,248.38171263,762.19347130,1223.85267599,1.40960400,1.33022155
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N200,1,46.55662188,144.75881928,248.34446765,1.35372793,1.23274034
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N2000,1,540.91635688,1632.44581096,2500.84354644,1.48608927,1.39781170
formalfull|E2_ablation|LSCBO|no_levy|W0_equal|default_4_to_1|NONE|N500,1,111.52904040,349.64138804,600.14627196,1.32067929,1.24193839
